Date,Year,Pros,Cons
2018-08-04,2018,"Robust and flexible customer relationship management tool.”
 You get detailed views of all the call logs, task lists, and projects. You can keep all the emails related to a specific project at one place. Strong contact management system is ensured. Customer care is very responsive and available all round the clock. The modular functionality of the application helps in concentrating only on the needed functions. The integrations have improved the functionality of the application. Provides robust reporting features, you can export data to excel with ease. One of the best features is that you can disable the applications to minimize information overload. The interface and layout are very user-friendly and allows easy navigation. Superb analytical tools provided and help in improving your rankings.
","The Graphical user interface looks quite outdated. The invoicing feature is very basic. The application is quite pricey.
"
2018-08-03,2018,"Tech support was great!!!”
 I had a little problem importing some contacts, and made some mistakes that made the problem worse. So I messaged Tech Support and Rep responded immediately and unraveled the mess I created, but didn't stop there. He went on to import and map my contacts like they were supposed to be. I'm so happy :-)
 I am just starting to dive into the product, today is my first day. I haven't had a chance to do anything yet, but will update when I do.
","None so far, my only issue was user error, can't blame Apptivo for that, but they did spend the time to help me fix it.
"
2018-07-25,2018,"This has been such a great site to use for us to record customers and make sure to follow up”
 Love how they have the follow up option, I depend on this on when to follow up with my customers It is easy to use and get data about the type of clients we have
","I wish it was easier to link so we could have sales, manually updating that is a pain, also wish that it had more options on types of customers we can put them under
"
2018-07-24,2018,"Extremely good.”
 Rich feature set and flexibility. Would be helpful if I could create my own tables and forms as I can in Dynamics 365 or Zoho but Apptivo has a much stronger sync to Xero so that helped make it the choice for my comfortable Also, outstanding support. Chat is there at all times and quickly and helpfully determine just what I need to do.
","poor integration with Outlook Desktop Would like to create my and tables and forms to extend Apptivo to specific needs of my business but I can manage with the features already in Apptivo.
"
2018-06-25,2018,"Great program especially for service companies”
 You can control large amount of specific product information
Pros: It is very useful to take control of great information within an organization, control specific products and predetermined
","Apptivo Work Orders is a software that becomes a bit complex when establishing important roles, it is not very specific for billing
"
2018-06-25,2018,"Super affordable, I appreciate how robust it is regarding customizations”
 This CRM really streamlined how we collected and reported data for expense reports.
 Capturing information is very straight forward, and laid out in an intuitive format. Learning curve is very easy! Our team is adopting this tool","At the beginning, it seemed very buggy, but they've made great improvements. Honestly, the toughest thing was getting people to change their ways, but customer support was integral to this process.
"
2018-06-22,2018,"Apptivo is simple to get started with! ”
 Apptivo was a great helpdesk solution when my team was looking for new helpdesk software. very easy to get started with.
","As our team grew and was in multiple customer locations often this software had a hard time keeping up.
"
2018-06-20,2018,"Apptivo is All-Inclusive, Modern ERP Cloud App Done Right (Just Add Speed and GUI Refresh)”
 I was using Teamwork (formerly Teamwork PM) for project management, a local install of vTiger CRM for contacts and opportunity management, and myriad other cloud-based apps to pull together administrative activities. I wanted an all-inclusive software with strong project management features that also allowed me to handle detailed invoicing and allowed customers to click a link to pay. Lastly, the CRM component had to be at least as good as vTiger (or Zoho CRM which I'd also given a trial run). Apptivo satisfied these needs. Pleased with the CRM, opportunity management, project management, field service management, and billing apps (especially since they've added Stripe as a payment gateway).
 They do not nickle-and-dime you to death! One price includes everything. Their tiers are about number of users rather than adding/subtracting features. A more sensible model than some of the others. I like how detail views are available from most places -- call logs, projects, tasks, and notes can be associated with a contact or company or opportunity. The integration with email is excellent, right down to making it easy to connect your email boxes. One challenge I had that Apptivo solved for me was how to keep emails related to a particular project or opportunity all together in one place. Apptivo does a good job of this by assigning codes (or project numbers), and allowing you to select whether or not the email you are writing is related. If you are writing emails using some other application (your desktop client or cloud-based app), you can use the same code in the subject line and Apptivo will pull that email into the app, and associate it with the relevant modules (project, client, case, etc.)
","Apptivo is reliable, doesn't seem to ever lose information, etc. but it is often as slow as molasses in an ice storm. Waiting is a no-no; constant waiting is a annoyance that has made me close the app more than once and come back another time. Apptivo communicates improvements and changes on a regular basis, however, it takes Apptivo a long, loooooong time to integrate changes that have been requested by clients, and improvements overall. The incremental changes they report on are good but they are really things that should have been implemented 4-5 years ago. An example of this is Stripe (payment gateway) integration. I requested it over and over about 3 years ago but it was just implemented last year. They could do better with customization (esp. dashboards), reporting, data import, data export and speed. Low scores on API/integrations -- they have an API but not many other services have developed integrations for it. Neither have they developed many integrations (except for Google products). Even their WordPress module is outdated, clunky. Also, connection to phone services (to take better advantage of the ability to log calls). The interface still has areas that are clunky and unattractive (although, in defense of Apptivo, I must say the interface has improved in aesthetics, colors and icons in the 4 years I've been using it).
"
2018-06-17,2018,"Good project tracker”
 I like that it's simple enough to set up and tailor to my business' needs. I don't use it myself, but mobile app is convenient should you need to use it.
","It does appear to be a little slower., and there are glitches sometimes that don't allow it to function smoothly.
"
2018-06-14,2018,"The ability to integrate in a single application or program the different sections”
 You have a clear vision of all the processes in a company ready to be analyzed
 The application offers complete view of the client and project from the start to the delivery and collection stages. Also alerts and personalizes reports. I really like the option to install a version of the application for mobile devices
","At the beginning of the implementation phase, effectiveness may decrease if there is resistance to sharing information among commercial units or departments, this depends on the skill and ability of the work force, it also implies education and training, even though this tool is very easy to use and very intiutive for the team work so it can be less this training time
"
2018-06-13,2018,"Usefull for start ups ”
 It is affordable for all business. You have access to a 24 hours support. It has a great mobile app from where you can control everything. It can be related with OneDrive.
","The interface sometimes gets stuck and it takes a little time to come back. It doesn't have a initial tutorial to learn how to use all the features.
"
2018-05-18,2018,"I am rating this at a very early stage. The support folks and the sales team have been wonderful.”
 It has many powerful features, some of which we hope to use. The support and sales team have been very helpful getting us started.
","It has many powerful features, lol. I need more focus and concentration on what we are building. We have an organization and are in the early stages of development of Apptivo. Will look to offer more comprehensive feedback at a later time.
"
2018-05-16,2018,"Good but so much opportunity to be so much better”
 I can adapt it to my needs. I feel that when I make a suggestion for improvement it will genuinely be listened to.
","There are a lot of bugs - this is why I have marked the overall quality down. We are always creating something and then it crashes, or it wont save and we have to start again. Or emails never arrive which causes big problems. Whenever there are updates, something unintentional seems to get affected. Perhaps more testing before going live. It feels a bit unprofessional sometimes. We can't test our own changes, so when I am updating things and people are using it, it can be disruptive. I really need to make changes and test before going live. The support is not always perfect. Some times its great, but sometimes I am not understood. The right intentions are always there though.
"
2018-05-14,2018,"Very usefull, great customer support, complete suite of apps, ticketing, knowledge base CRM and more”
 Great software to track many aspects of your business and work easier, having a good interaction with employees and customers
 There are a lot of applications integrated together, you can control the access you want your customers to have You can create tickets, design workflows, you can communicate with customers, you can access from any device, you can control the acces level for your employees and also the security roles to your contacts. 24/7 online support chat
","I dont have any issues with this software, I am very happy with the way it works and its easy to use
"
2018-05-14,2018,"All-in-one ERP - broad coverage at a reasonable price”
 All-in-one business software, good support and value for the money.
 An extremely broad range of applications. Apptivo beats most competitors in this respect; it really is an 'all-in-one' ERP in fact - not just a CRM. At the same time Apptivo is excellent value for the money. The 'in-app' live chat support is especially helpful, as you can deal with issues as they occur. The pricing is per user, broadening the base of potential organizations who will find Apptivo appealing from the outset, and scaling as the organization grows larger.
","Being a 'jack of all trades', Apptivo cannot be expected to excel in every area. Some features - such as the two Wordpress plugins - seem neglected and are seldom updated or promoted. Given the popularity of WP it seems to be a missed opportunity to expand into the help desk market. Another example would be the customer portal, it seems a bit awkward. The customer must sign-up through Xinnect and then Apptivo as well to access their portal, even though Apptivo might not be relevant to them. It is also difficult to control exactly what clients will see, and they are shown a lot of irrelevant fields, even though there is a rudimentary role assignment mechanism. Combining this with cases (tickets) and answers (knowledge-base) should in theory provide an alternative to a help desk, but it is a long way round.
"
2018-05-12,2018,"Great software!”
 Possibility to tailor it to a specific Business, the functionality, Ease to Use, Layout, various search functions
","Would be good to have ability to customize own reports, more robust user authentification and slightly lesser cost.
"
2018-05-11,2018,"Good Software for tracking progress, But I hope we shall work to make it better”
 I feel there is some value for the money spent to acquire the software.
 The fact that i can modify the CRM to my requirements to give me more alternatives on how to capture information makes this software so useful
","Many at times I found the software more than slow when especially when dealing directly to my clients
"
2018-05-10,2018,"Organized and Simple”
 Nice help desk tool
 I like how the help desk helped my company collaborate and give support to my customers, which I had not utilized before.
","I used the free version to test it out, and I should have gave it more time, but I ended up deciding to not use it.
"
2018-05-10,2018,"Heavy trial and positive impression ”
 Full-featured project management tool
 Actually I like almost everything. The set of features seems to be quite balanced, it integrates natively with right tools - tools we use.
",I couldn't persuade our team members to switch from our current solution. They pointed out tthat Apptivo projects is a bit overkill for us now. Hope one day we will grow up to this solution.
2018-05-08,2018,"Great experience so far. For my type of Business ideal”
 CRM System is very useful to Support a systematice sales process.
 Possibility to tailor it to a specific Business, the functionality, Ease to Use, Layout, various search functions, etc.
","Opportunities section could be enhanced by beding able to create reports for a specific product. for example: -Performance Report, Pipeline by Stage, Sales Funnel, 12 months Pipeline etc. not only for ""All opportunies, but also for specified and pre-defined products
"
2018-05-07,2018,"straightforward and easy to use CRM platform”
 good drag and drop capability, easy to navigate, good integration with additional modules. Very affordable
","No major issues; would be good to have ability to customize own reports, more robust user authentification
"
2018-05-07,2018,"A fantastic affordable CRM that competes with much larger systems”
 I have an affordable CRM where I can track my customers key details and most importantly I can invoice them and track their payments. Gives me a lotntrol over my customer base.
 The quality of its invoicing package. So easy to setup chargeable items and the professional looking output is amazing.
","Clunky to input customer and contact details. Need to enter both on different screens and then go back and link them.
"
2018-05-07,2018,"Great way to track projects. A lot of features that can be customized for your specific industry. ”
 Being able to see any project at any given status at any time.
 Being able to put numerous fields to retain all project information in several different formats. Ease of reporting by exporting data to excel and going from there. You only have to use what you need. Disabling certain apps prevents you and users with too much information. Great selection of apps to customize for each business. Really enjoy the product!
","Invoicing is very basic. Not able to use it if you bill hourly. Not enough 1:1 support for highly complex project system setups. Need more reps to have access to custom care. Had pitfalls in reporting, but were addressed fairly quickly, but set us back as a company. Needing to double check items saved in the project you just updated, some data doesn't get saved on the first try. Not being made aware of when enhancements are made and what new features now exist. Reporting on specific users projects - needs ability to set priority is assigned roles and see those rankings constantly.
"
2018-05-07,2018,"I initially set out to use a different CRM, but after speaking with your rep, I was sold. ”
 I have a CRM that is easy to use
 The ala carte menu is outstanding. The fact that I can talk to customer service and have someone thoroughly explain things to me Hands-On so to speak, is exceptional
","I haven't figured that out but when I do I'll let you know. I were forced to come up with something, which it looks like I am, I wish you were easier to use my Square payment service and have it integrated into my apptivo CRM."
2018-05-07,2018,"Good Software but needs few more updates, might want to compare with competitors to get better overv”
 on stop shop ERP for all your business needs, tech support are good and fast responding. it even let you build your own module
","site slow on most platforms, invoicing missing few functions, like reactivating stopped recurring invoices.
"
2018-05-07,2018,"Great”
 Ability for team members to manage customers and produce estimates, both in the office and on the go.
 Estimates and Customer data logging is great. I use estimates the most, great tool for cloud based service.
","Wish there was more functionality with team calendar and ability to track contract due dates and reminders.
"
2018-05-07,2018,"I like using Apptivo better than my previous software salesforce, it is more intuitive. ”
 I like that we can convert from estimates to invoices, it saves dual entry which for a salesperson is key. I am able to create these estimates very quickly and turnaround time is crucial for my customers.
","I think it would be nice is apptivo made updates and releases/improvements to the software regularly and informed the users of this via a monthly email or newsletter. It is easy to get stuck in a rut of doing the same things in the system and I may not be getting all the functionality that the software has to offer.
"
2018-05-07,2018,"We've been using Apptivo to manage our networking group for invoicing and also guest management”
 It has great time-saving features but has been ""glitchy"" after having worked successfully in the past.
 Comprehensive tool that allows us to create templates for just about everything we need from weekly updates, quarterly & annual invoicing, guest followup and reminders. Also, let's us automate generation of invoices. Great to have a history of current & past members & guests.
","Seemed to work find for the first few years but in the last 1-2 years there have been anomalies in invoicing: past due amounts were incorrect and have had to reach out to customer support several ties on this... We are not paying for the service (so I guess we don't have the right to complain) but it has been an issue to trouble-shooting the problems. Customer support has been responsive but resolution of the issues has sometimes been slower than I'd like. I've had to create work-arounds to resolve some of the issues.
"
2018-05-07,2018,"Great value and functionality for the money!”
 Ability to track many aspects of my business with ease.
 I like that I can customize the CRM to fit my specific needs. It give me many options for capturing data that I need to keep track of my business. I like the ability to be able to filter reports and keep track of revenue.
","I wish I had the ability to mass delete information. It is very time consuming to delete each record one at a time.
"
2018-05-07,2018,"Like that I can access from a mobile device”
 Mobile access in a easy to use format.... just need eda simple contact management program where daily notes and quotations can be stored.... Don't need or want the fluff that doesn't help sell products for our organization...
 Quick connections - no hang time...format is easy to follow, learning curve is very quick and help chat is a huge plus.....Mobile device connect is seamless , even on a smart phone
","Adding contacts individuals - address and main phone numbers are not migrated from the Company of at lease the option.......
"
2018-05-07,2018,"I am happy with the service as it meets my requirements”
 I needed a CRM system that I could import existing data and then also create campaigns. I also wanted quite granular segmentation capabilities. I started with the free version and after a few days went for the paid option as I wanted to do some customization. For the price I think the service is very comprehensive and when I have asked for support it's been helpful and met my requirements. There are modules / components that I have not yet used but I like knowing they are there if I need them. The product video's online are very helpful. I should have started with them so some mistakes where made.","I often want to set up a calendar entry in different outlook mailboxes. Ideally I want to copy an address associated with a contact. However when I click on the address to copy and paste into outlook calendar the option take me into edit mode which take me longer to copy and paste as I have to copy a few times. Otherwise I have no other issues.
"
2018-05-05,2018,"Central to my operation”
 Apptivo does everything that I need for my business. It's simple to configure and has all the functionality essential for my business. I like its completeness and how all the modules are integrated
","The mobile app is very limited and does not have the functionality of the web app. For a small business that operates on the go this is not ideal
"
2018-05-05,2018," I like the fact that I can tailor Apptivo to my company needs. It also, allows me to add invoicing plus more as I need it.
","The software is very very very slow when going from customer to customer. I hate I am not able to link the apps together by person once new app is created.
"
2018-05-05,2018,"Pretty good”
 Crm at a reasonable price
 Value for price and its functionality with other programs. I like how its compatible with the other programs I use like Google and wordpress
","Support. I inquired about wordpress plugin and had the articles sent to me but ran into issues and rep said someone would call me back but didnt
"
2018-05-05,2018,"It is a Plug-n-play CRM ,ready to use software for initial startups.”
 Recording instances on one place
 The CRM integration with Gsuite is very good .And the CRM and Product management app is very good and any startup can rely on it for these features.
","Financial apps - due to lack of Indian system compatible features,Indian Tax system incompatibility , Lack of Indian payment gateway integration. and Cases app . And Android app - which fails many times to record call logs and send messages.( Not trustworthy by Android app). E-commerce WordPress integration is so poor that do not compete with other e-commerce platforms Outside web application Integration is very tough ,so can't be used for larger purpose.
"
2018-05-04,2018,"Very easy to get up to speed.”
 The technical support is great and the dashboard function is a big help and better than what any competitor has to offer.
","There is not a starter tutorial that covers everything and you are sort of left on your own to get up to speed.
"
2018-05-04,2018,"A great and very customizable CRM with easy integration with our email server”
 Very easy integration with gmail extension. Auto-fill on retrievable customer data. High level of customization of the fields.
","Terrible ecommerce integration unless using shopify. The fixed or default fields cannot be removed or hidden
"
2018-05-04,2018,"I was reluctant in the start but since I've started using it, I must say it's one of the best.”
 One of the best softwares that one can find in the market to download and get on with using it without any issues.
","I haven't found any to date but as soon as I find them will surely update my review. I haven't seen the option of the received amount in the software or maybe I haven't explored it yet.
"
2018-05-04,2018,"Works well for the most part and is geared towards retailers or service providers. ”
 The ability to link contacts and sub-organizations across a parent company and cross-reference orders.
 Easy to use across most apps in a retail or service environment, the ability to see notes, contacts, and links from past orders.","Emails frequently get blacklisted and blocked by corporate and government spam/security filters. Poorly designed for manufacturing or ERP use.
"
2018-05-04,2018,"exceptionally customizable ”
 New workflow and campaign management tool
 its customizable solution for all your needs is what I love the most. It is very Affordable and provides 24-hour support. They have the beautiful mobile app which is very easy to use.
","Integration with third party application is something they need more homework. they don't have much app that integrates.
"
2018-05-04,2018,"Not bad fir the price”
 Price is good. It works well for invoicing once it is configured properly. Would recommend this for a small business.
","The email feature is not very user friendly and the interface is a bit confusing at first. Customer support could be better.
"
2018-05-04,2018,"Able to run n my whole business within a single app. ”
 No lost opportunities, better tracking and follow up. Everything within a single application and more presentable documentation.
 Turning a lead into a contact, into a customer, into an opportunity. Create a quote, with all the customer info in minutes from my built-in pricing.
","I would like to be able to convert a quote into an invoice with the ability to modify as needed to add items and edit.
"
2018-05-04,2018,"Started using Apptivo 3 years ago, Great financial admin tools and smartphone apps are handy as well”
 Cloud based, User friendly and if you require something they will try to add it in. 24/7 live customer support.
","You can do a print out of all payments received if you have many clients (per invoice only), time sheets will only be specified on the invoices if you do it one week at the time.
"
2018-05-04,2018,"I've been using this software for 2 years. Feels good”
 Inexpensive
 Integration to offer apps. We use RingCentral to make and track calls. We also use the email function
","The support is tedious. They prefer a chat format that takes 3 - 5 minutes before they respond to a question. Almost always they ask the same questions over and over. Support is over seas
"
2018-05-04,2018,"Really easy to use and helpful to our goals!”
 I love the way we can easily streamline our contacts across employees. Apptivo was easy to use and a great solution.
","Adding new contacts was sometimes time consuming with multiple tabs, but once you got the hang of it it was ok.
"
2018-05-04,2018," Helped me to organize my client list. Forced me to get all the info for clients into one app. It also worked well for my other team members.
 Lots of features for a low price. There are many options in the software for keeping track of sales, invoicing, subscriptions, and files. There is a feature for just about everything.
","The program has tones of feature but is a bit slow and needs to be modernized” The program is slow and not organized well. It needs to be streamlined. It is doing way too much for my needs and that gets in the way.

"
2018-05-04,2018," The Flex ability, create way to have all customers, estimates, invoices all in one central place. Would like to see more features like Housecall Pro.
"," Lack of Mobile Features Check out Houcecall Pro. Sometimes I have problems logging in, I have to try atleast 5 to 10 times before it takes cred
"
2018-05-04,2018,"I have been using Apptivo for 5 years now. Very good overall!”
: Integration, control over my process, paper reduction, information available always, on the go, basic reporting, personalization and company branding, professional presentation of my company, cost control,
 Simple It is growing in terms of features It allows managing a complete end-to-end company Invoicing App is very simple and powerful. Mobile app works fine
","Sometimes it is slow Some Apps are very basic Documentation is very simple, basically the screenshots Personalization could be complex
"
2018-05-04,2018,"I like that it is easily customizable and new users were able to learn it quickly. I love that we could customize it for alerts/reminders for our service customers warranty expirations. It has eliminated a lot of dual entry our previous system had.
","Customizing the forms was difficult and there are still a few things on our forms that are less than perfect but overall am happy with them.
"
2018-05-04,2018,"Apptivo helps to keep my partner and I organized. We particularly use the email and notes function. We are a builder, so everything is organized around projects. The scheduling program is terrible, by the way.
 The concept of the software is great... it is very integrated and it seems like the owners are always trying to improve the program.","I like Apptivo, but have found it to have lots of glitches and is very slow at times” The problems are the number of glitches experienced; the difficulty in getting issues resolved; the fact that the program can be very slow to respond. Right now, for instance, when I click on an email sometimes it opens up and sometimes it doesn't. Not sure what is causing this, but it is extremely frustrating and inefficient. I tend to do things in Google. I am seriously considering abandoning Apptivo.
"
2018-05-03,2018,"We recently started to use it. So far, so good”
 Can access all areas of our business - Sales, Projects, Tasks etc. I like the ability to create Project Templates
","We have to create Custom Lists for common views like Opportunities > Open> Sorted by close date. A pretty common KPI. We then have to export it just to view it on a weekly basis for staff meeting. A few steps to get standard data. Same with Open Projects, sorted by Due Date
"
2018-05-03,2018,"Brilliant Software with Fair Pricing”
 I use the CRM daily to enable our business to run smoothly.
 Very good feature set with lots of modules. Possible to even create custom apps / integrations. Mobile apps are very good. Support is brilliant - Live Chat is built in to the CRM.
","Some times there are little bugs that can appear e.g. the text changes font/size when typing which can be annoying. Sometimes it can be a little slow.
"
2018-05-02,2018,"A lot of configuration, but once you learn the dynamics and functionality it becomes more simple.”
 How organized the applications are and all apps are cohesive with each other. I like the trigger function as well.
","Need more than just a couple demos to fully understand the functionality of Apptivo. It takes a while to research through the settings of each app for what I specifically wanted, especially for my employees.
"
2018-05-02,2018,"The versatility of Apptivo is great for me because I use it for multiple businesses.”
 Organization. Meeting deadlines. Tracking customer interaction. Easy invoicing.
 I like being able to customize a lot of different items and use it for different purposes. I can keep track of customers and make sure I'm hitting my deadlines. The invoicing is easy and professional.
","The interface is a little bit lacking. It seems outdated and not very attractive. It's a little bit cumbersome to find a customer. The loading times can be a little bit slow.
"
2018-05-02,2018,"Great Software + Great Support + Very expandable”
 It has disciplined my sales team
 It does exactly what I need for my start up business but also has shown the capability to expand as my business has grown.
","Nothing. It's a great app for our busiess and there's a lot of other providers whose functionality is limited but costs much much more.
"
2018-05-02,2018,"Awesome way to house my clients. ”
 I am able to add customers to the database and then go back in and update their charts from any location that I am at. I love it.
 What I like most about Apptivo is the calendar for scheduling my clients and how the CRM software makes it easy to navigate to the clients uploaded files.
","I wish that we could eliminate the am hours that shows up on the calendar. I have tried to figure out how to eliminate like 1am to 7 am.
"
2018-05-01,2018,"Best service we started with when starting our company. very intuitive.”
total control over my business contacts, and invoicing system.
 Ease of use and the cost is minimal compared to the features you are getting in the package. Invoicing feature is excellent as well.
","A little slow when for example creating an invoice and sending to customer. The actual customer, business relationship is confusing when adding contacts and companies.
"
2018-05-01,2018,"Great Support and A Wide Variety of Capabilities”
 It's simple to set up, straightforward to use. Many features that in other systems are ""enterprise-only"" are available to all users. The support team is ALWAYS available by chat with quick and straightforward answers.
","Some of the features I really looked forward to had been deprecated. Integration with Office 365 at this point is just a kludge mail option that has Aptivo mail as a passive receiver of email -- not a real 2-way IMAP client. No direct people sync exists for O365, and there's not yet an IFTT or Zapier connection (although there IS a robust API published).
"
2018-05-01,2018,"I have used it for months splendidly. I'm in real estate so I do wish the properties was better” I'm in a small organization so prices was the main consideration

","it worked good for a while until I figured out the commercial real estate was not practical. the properties module is not intuitive for commercial brokerage real estate. it seems the programmers considered residential only.

"
2018-05-01,2018,"I have utilized several CRM solutions and the Apptivo CRM solution is a great solution for it's cost”
 Apptivo CRM is easy to use, and makes available lots of functionality to pick and choose from when building a customized solution. Apptivo's customer support is excellent, responsive, helpful and does a great job supporting me when I need help.
","For non-technical users, modifying the screens to build a customized app, can be a challenge. However, Apptivo customer service is ready to jump in and help when needed. Customer support is accomplished via chat window, which can be tedious. However, Apptivo makes available voice support when requested. And, they provide lots of You-Tube based videos to demonstrate how to modify functionality.
"
2018-05-01,2018,"Best Bang for the buck on the market! Adaptability and ease of use with scalability!”
 Functionality and accurate data collection that was flexible to meet my needs! Hands down the best solution on the market for the price point!
 Ease of USE and layout modifications! The layout is so easy and adaptable to collect the information simply from other users. Databases are only as good as the information you put into them. Apptivo makes it so SIMPLE getting the info in and thus making it powerful!
","Very few, because it is cloud-based they are constantly adding customization features and options and sometimes the functional icons show up in the Customization Settings of the Administrator and there is no documentation for the new functionality as of yet. I would much rather have this problem than them not update the customization functionality though. This database is unbelievably scalable and constantly improving!
"
2018-05-01,2018,"Apptivo has been able to provide me with anything I needed to do to manage and invoice customers”
 i'm able to keep leads, contacts and customers straight. I can easily see where I can gather more clients.
 Online -easily accessible Intuitive interface Has all the features of larger, more expensive software
","UI for invoices used to be straightforward but has changed. Reminders and recurring tasks could be easier to set up.
"
2018-05-01,2018,"We found something affordable that met our current need.
 The uploading contacts portion was easy to use. When I had questions the representative was helpful.
",It was difficult at first deciding how we wanted our dashboard to look but over time we figured it o” To do custom fields was tricky. I would have email a presentative and sometimes it was difficult getting quick solutions.
2018-05-01,2018,"Good, customizable CRM-system with lots of functions. Extreme good value money-vise.”
 That it's logical and give you the possibility to customize it however you want, plus that it gives you a good value for your money.
","Maybe the look of the program. Looks a little bit of old-school and not very fresh. I do think it would attract mote people if it were more eye-cathing.
"
2018-05-01,2018,"Easy to set up and get a team going soonest.”
 Ease of use, ease of set up and getting a team on-board...
 Cost and ease of use, that app store is also awesome. Easy to track Opportunities and has a great reporting function.
","It took me a while to figure out how to do tax and territories, but the support team is awesome, and we soon had it sorted.
"
2018-05-01,2018,"Using the program to track all customers and use for email blast”
 easy to use within its own program. Has many more features than we would ever need to use. Would be great if you could dispatch from the program
","does not integrate with constant contact without a lot of additional work. We have spent a lot of time on the phone and using chat to try and correct but no easy way as of now. Needs to have the first and last name separated on the CRM customer app
"
2018-05-01,2018,"it has been very good. ”
 time management, organization, piece of mind
 ease of use, phone app prompts you to record to leave note. I also like the notes within the task and then how all of the notes fall under the one client
","cant sort customers based on multiple tags. If for example I wanted all of my clients that liked golf and were in zip code 46074. I cant sort for that.
"
2018-05-01,2018,"Very useful CRM, accessible from anywhere, good value for money”
 The CRM functionality is intuitive to use. Not much setup is needed but still a lot of customization is possible. It can easily grow with the company and is accessible from anywhere. As a cloud based service you do not need to care about hardware, accessibility etc. Remarkable: There is an exceptionally responsive customer support. Overall very recommended for flexible startup companies.
","While the CRM functionality is quite good the rest of the apps (like order management, invoicing, inventory etc.) are a bit limited in possibilities and use. As long as one is dealing within a single country this should be fine. As an international business with export to many countries there will be many compromises or workarounds. Especially regarding interaction with the customers (quotes, invoices etc.) the customization possibilities are very limited. From time to time new releases or features are deployed that can change appearance and functionality to the better or worse. While the response time of the customer support is better than anything else I have ever seen, the help with more sophisticated questions is often limited and needs long explanations. Fixing of bugs can take very long. Overall the software feels a bit slow.
"
2018-05-01,2018,"There are no software solutions that provide everything to everyone...but this one is close”
 Keeps us well organized and tracking towards are monthly sales goals
 Tracking Sales Opportunities and keeping all information in one place. It even has a document depository which is quite helpful in sharing information.
","The social media monitoring in the CRM feature is lacking or non existent. There are plenty of insites that can be gained by looking at a potential customer's LinkedIn account
"
2018-05-01,2018,"Software is great. Able to create a customized template that works for my company
 How customizable it is. It feels like it's my personal software specifically designed for my company's needs. And all the different app you have.
","There a handle of very basic things that have need to be addressed. There are very basic things that have never been addressed. For example, the Company Name field in google contacts does not sync with Apptivo. So if I put a company name in the google contact nothing comes over to apptivo. Also, you can't schedule a reoccuring event on the calendar, why? I come across silly stuff like this all the time.

"
2018-05-01,2018,"Relatively easy”
 Organization, ease of locating contacts
 The organization of the software is great with a lot of ways to track your contacts and when you contact them.
","It tends to be slow while working within the contacts. I would like to delete the names of categories that I am not using. I would like to be able to pull a monthly receipt for reconciliation purposes.
"
2018-05-01,2018,"Webform capturing data, and offering automated quotes.
 Price and the breadth of the published feature set. Accessing those features is another issue, however. If an administrator was dedicated to set things up and use Apptivo's consulting services for 3+ months, feature accessibility and the overall user experience may be different
","They need to figure out how to make the software simpler and more productive out of the box. It's really hard to use, as they haven't yet implemented an out-of-the-box solution that's easy and straightforward. It's almost like a kit that an IT staff would need to spend 3+ months setting up before deploying it.

"
2018-05-01,2018,"Amazing streamline”
 Beautiful layout, tutorial videos to get you started, chats with agents who answer your questions pretty much instantly.
","Some API difficutlies. Some difficulty with the email syncing in the beginning. Email opened receipt sometimes lags by a long time.
"
2018-05-01,2018,"Really liked the way emails were tagged, tracked and seemed easy to find or follow at any point in the sales cycle. ","Liked the product but wasnt crazy about the lack of resources or ability to find help. support and ability to learn on ones own time. Felt like I had to figure out how to use or develop many of the features. Not a fan of not having folders in main email inbox.
"
2018-05-01,2018,"Great Value and Customer Service”
 Great CRM/invoicing for a start up, single-operator health based business.
 I was able to get it set up and running fairly quickly and was able to get customer support when needed. Customer service was super friendly...I was particularly impressed because I called during my free trial and they treated me like a paying customer.
","When I first signed up (2014), it was missing some features that other more, robust CRM/Inventory management software offered, such as an app to manage it and specific reporting. I understand they have added additional features since I first signed up.
"
2018-05-01,2018,"I have been using Apptivo for several years; they have great features but can run slowly.”
 An affordable CRM program that integrates with invoices, and paymentss. Great customer support.
 integration between CRM and invoicing and emailing is great! I am able to send out invoices and get paid through PayPal and my system is updated.
","The software can be slow. Sometimes I will input information and the program does not respont. They offer a Ledger to input expenses but it is very difficult to use, takes such a long time to update. Overall some areas are great but the program lags, takes a very long time to upload info.
"
2018-05-01,2018,"For the money, the level of functionality can't be beat. And the system is designed to be flexible enough to meet almost any use case scenario.","The software is very flexible, but slow and can be cumbersome to configure.”The software is slow to use, taking quite some time to refresh screens. Not devastating slow, but more of a death-by-a-thousand-cuts scenario; where each little hesitation adds up to a noticable reduction in productivity. Also, with extreme flexibility there is always the tradeoff of extensive configuration; and Apptivo is no exception in that regard. The more you use, the more you will need to configure. In the end, none really. The tradeoff of performance for price and flexibility was not worth it.


"
2018-05-01,2018,"Easy to use, few quirks but Apptivo CS is willing to help. Can easily add and removed functions. ”
 Very simple to roll out, after a few informational sessions on the product was easy to get things started. Apptivo CS helped make tweaks as we moved forward. Cost effective for small businesses.
","Biggest issue we have had so far was the migration from Saleforce, had a few hick ups regarding the data, took awhile to get it figured out. Once it was imported we had to do alot of back ground work to find data we needed.
"
